,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18
Cocaine,16087,20320,24659,21377,17710,17597,16758,16913,15815,15588,14892,15257
Crack,6587,7191,6623,5081,5385,4985,4597,4762,4132,4718,5484,5833
Ecstasy,7758,6808,5218,3724,2537,3200,3224,3245,3018,2906,3174,3190
Heroin,13224,13463,13302,12836,10821,9182,8573,8682,7892,8050,8092,7435
LSD,160,138,132,102,95,90,70,89,105,98,139,145
Methadone 13,886,960,1069,1036,1067,880,835,761,686,547,498,463
Morphine,78,96,117,112,114,115,129,166,173,136,189,189
Other,1731,1750,2326,2017,4305,3618,4299,5138,5667,5052,4704,5261
Cannabis,137534,164895,186147,176830,167410,175264,157208,149087,124408,109527,99779,97914
Amphetamines,8037,8414,7760,7302,7185,6774,5935,6239,5530,4418,3820,3484
Barbiturates,27,16,25,28,22,13,17,10,9,10,12,6
Ketamine,516,895,1269,1612,1793,1543,1527,1639,558,591,572,726
Mephedrone (non-injection),0,0,0,35,1948,2461,3850,3073,2325,1031,202,66
Anabolic steroids,522,497,805,871,675,709,854,1143,1057,933,1040,949
Benzodiazepines,2188,2740,4038,2957,2489,2696,2085,2107,2122,1964,1945,1986
GHB,58,60,47,59,66,45,61,41,75,64,37,51
Temazepam,285,390,609,285,250,230,143,127,110,99,63,49
Unknown,2317,2120,2645,3061,3685,4030,5041,6060,7375,7354,8715,8387